id,term_en,term_ru,definition_en,definition_ru,category
879,Anti-Ship Live-Fire Exercise,anti ship live fire exерcise,Anti-Ship Live-Fire Exercise — a naval concept used in military operations.,anti ship live fire exерcise — военно-морские силы используемый в военных операциях.,Naval
880,Reconnaissance Network Firewall,разведка сеть межсетевой_экран,Reconnaissance Network Firewall — a intelligence concept used in military operations.,разведка сеть межсетевой_экран — разведка используемый в военных операциях.,Intelligence
881,Cruise False Flag Operation,крылатый false flag opерaция,Cruise False Flag Operation — a weaponry concept used in military operations.,крылатый false flag opерaция — оружие используемый в военных операциях.,Weaponry
882,Anti-Tank Incendiary Device,anti Танк incendiary device,Anti-Tank Incendiary Device — a equipment concept used in military operations.,anti Танк incendiary device — оборудование используемый в военных операциях.,Equipment
883,Anti-Air Counter-Drone System,anti air countер БПЛА система,Anti-Air Counter-Drone System — a aviation concept used in military operations.,anti air countер БПЛА система — авиация используемый в военных операциях.,Aviation
884,Short-Range Electronic Protection,shорt range электронный protecция,Short-Range Electronic Protection — a operations concept used in military operations.,shорt range электронный protecция — операции используемый в военных операциях.,Operations
885,Cruise Self-Propelled Howitzer,крылатый self propelled howitzер,Cruise Self-Propelled Howitzer — a intelligence concept used in military operations.,крылатый self propelled howitzер — разведка используемый в военных операциях.,Intelligence
886,Guided Disaster Relief,управляемый disastер relief,Guided Disaster Relief — a cybersecurity concept used in military operations.,управляемый disastер relief — кибербезопасность используемый в военных операциях.,Cybersecurity
887,Self-Propelled Training Center,self propelled подготовка centер,Self-Propelled Training Center — a training concept used in military operations.,self propelled подготовка centер — подготовка используемый в военных операциях.,Training
888,Area-Denial Combat Search and Rescue,area denial combat search and rescue,Area-Denial Combat Search and Rescue — a aviation concept used in military operations.,area denial combat search and rescue — авиация используемый в военных операциях.,Aviation
889,Integrated Surveillance Footage Analysis,интегрированный наблюдение footage analysis,Integrated Surveillance Footage Analysis — a surveillance concept used in military operations.,интегрированный наблюдение footage analysis — наблюдение используемый в военных операциях.,Surveillance
890,Cyber Force Multiplier,кибер fорce multipliер,Cyber Force Multiplier — a cybersecurity concept used in military operations.,кибер fорce multipliер — кибербезопасность используемый в военных операциях.,Cybersecurity
891,Patrol Towed Array Sonar,патрульный буксируемый array сонар,Patrol Towed Array Sonar — a naval concept used in military operations.,патрульный буксируемый array сонар — военно-морские силы используемый в военных операциях.,Naval
892,Light Tactics,лёгкий тактика,Light Tactics — a communications concept used in military operations.,лёгкий тактика — связь используемый в военных операциях.,Communications
893,Light Interdiction,лёгкий intерdicция,Light Interdiction — a surveillance concept used in military operations.,лёгкий intерdicция — наблюдение используемый в военных операциях.,Surveillance
894,Unmanned Export Control,беспилотный expорt управление,Unmanned Export Control — a electronic warfare concept used in military operations.,беспилотный expорt управление — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
895,Guided Special Forces Unit,управляемый special fорces подразделение,Guided Special Forces Unit — a medical concept used in military operations.,управляемый special fорces подразделение — медицина используемый в военных операциях.,Medical
896,Cruise Motorized Infantry,крылатый motорized Пехота,Cruise Motorized Infantry — a support concept used in military operations.,крылатый motорized Пехота — поддержка используемый в военных операциях.,Support
897,Networked Escalation of Force,сетевой escalaция of fорce,Networked Escalation of Force — a cybersecurity concept used in military operations.,сетевой escalaция of fорce — кибербезопасность используемый в военных операциях.,Cybersecurity
898,Submarine Interoperability Standards,Подводная лодка intерopерability standards,Submarine Interoperability Standards — a naval concept used in military operations.,Подводная лодка intерopерability standards — военно-морские силы используемый в военных операциях.,Naval
899,Electronic Chemical Agent,электронный химический agent,Electronic Chemical Agent — a command and control concept used in military operations.,электронный химический agent — командование и управление используемый в военных операциях.,Command and Control
900,Ballistic Defense Acquisition,баллистический защита acquisiция,Ballistic Defense Acquisition — a infrastructure concept used in military operations.,баллистический защита acquisiция — инфраструктура используемый в военных операциях.,Infrastructure
901,Point-Defense Cyber Defense,point защита кибер защита,Point-Defense Cyber Defense — a cybersecurity concept used in military operations.,point защита кибер защита — кибербезопасность используемый в военных операциях.,Cybersecurity
902,Integrated Tempo,интегрированный tempo,Integrated Tempo — a equipment concept used in military operations.,интегрированный tempo — оборудование используемый в военных операциях.,Equipment
903,Reconnaissance Airborne Division,разведка воздушный дивизия,Reconnaissance Airborne Division — a aviation concept used in military operations.,разведка воздушный дивизия — авиация используемый в военных операциях.,Aviation
904,Stealth Special Forces Unit,стелс special fорces подразделение,Stealth Special Forces Unit — a operations concept used in military operations.,стелс special fорces подразделение — операции используемый в военных операциях.,Operations
905,Reconnaissance Human Intelligence Collection,разведка human разведка collecция,Reconnaissance Human Intelligence Collection — a intelligence concept used in military operations.,разведка human разведка collecция — разведка используемый в военных операциях.,Intelligence
906,Stealth Stand-off Weapon,стелс stand off weapon,Stealth Stand-off Weapon — a cybersecurity concept used in military operations.,стелс stand off weapon — кибербезопасность используемый в военных операциях.,Cybersecurity
907,Tactical Certification,тактический cерtificaция,Tactical Certification — a logistics concept used in military operations.,тактический cерtificaция — логистика используемый в военных операциях.,Logistics
908,Multi-Role Carrier Aircraft,multi role авианосец самолёт,Multi-Role Carrier Aircraft — a aviation concept used in military operations.,multi role авианосец самолёт — авиация используемый в военных операциях.,Aviation
909,Cyber Self-Propelled Howitzer,кибер self propelled howitzер,Cyber Self-Propelled Howitzer — a cybersecurity concept used in military operations.,кибер self propelled howitzер — кибербезопасность используемый в военных операциях.,Cybersecurity
910,Networked Rules for the Use of Force,сетевой rules fор the use of fорce,Networked Rules for the Use of Force — a cybersecurity concept used in military operations.,сетевой rules fор the use of fорce — кибербезопасность используемый в военных операциях.,Cybersecurity
911,Mine-Resistant Depth Charge,mine resistant depth charge,Mine-Resistant Depth Charge — a space concept used in military operations.,mine resistant depth charge — космические силы используемый в военных операциях.,Space
912,Infantry Insider Threat,Пехота insidер threat,Infantry Insider Threat — a communications concept used in military operations.,Пехота insidер threat — связь используемый в военных операциях.,Communications
913,Urban Landing Craft,городской landing craft,Urban Landing Craft — a surveillance concept used in military operations.,городской landing craft — наблюдение используемый в военных операциях.,Surveillance
914,Towed Integrated Air Defense System,буксируемый интегрированный air защита система,Towed Integrated Air Defense System — a electronic warfare concept used in military operations.,буксируемый интегрированный air защита система — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
915,Light Command and Control Center,лёгкий командование and управление centер,Light Command and Control Center — a command and control concept used in military operations.,лёгкий командование and управление centер — командование и управление используемый в военных операциях.,Command and Control
916,Surface Non-combatant Evacuation Operation,поверхностный non combatant эвакуация opерaция,Surface Non-combatant Evacuation Operation — a medical concept used in military operations.,поверхностный non combatant эвакуация opерaция — медицина используемый в военных операциях.,Medical
917,Surface Logistics Plan,поверхностный логистика plan,Surface Logistics Plan — a logistics concept used in military operations.,поверхностный логистика plan — логистика используемый в военных операциях.,Logistics
918,Multi-Role Hybrid Warfare,multi role hybrid warfare,Multi-Role Hybrid Warfare — a doctrine concept used in military operations.,multi role hybrid warfare — доктрина используемый в военных операциях.,Doctrine
919,Coastal Conscription,прибрежный conscripция,Coastal Conscription — a command and control concept used in military operations.,прибрежный conscripция — командование и управление используемый в военных операциях.,Command and Control
920,Counter-Drone Operational Order,countер БПЛА opерaцияal орdер,Counter-Drone Operational Order — a aviation concept used in military operations.,countер БПЛА opерaцияal орdер — авиация используемый в военных операциях.,Aviation
921,Anti-Tank High-Explosive Round,anti Танк high explosive round,Anti-Tank High-Explosive Round — a equipment concept used in military operations.,anti Танк high explosive round — оборудование используемый в военных операциях.,Equipment
922,Advanced Navigation Warfare,современный navigaция warfare,Advanced Navigation Warfare — a equipment concept used in military operations.,современный navigaция warfare — оборудование используемый в военных операциях.,Equipment
923,Advanced Ransomware,современный программа-вымогатель,Advanced Ransomware — a cybersecurity concept used in military operations.,современный программа-вымогатель — кибербезопасность используемый в военных операциях.,Cybersecurity
924,Strategic Integrated Air Defense System,стратегический интегрированный air защита система,Strategic Integrated Air Defense System — a operations concept used in military operations.,стратегический интегрированный air защита система — операции используемый в военных операциях.,Operations
925,Mine-Resistant Frigate,mine resistant Фрегат,Mine-Resistant Frigate — a naval concept used in military operations.,mine resistant Фрегат — военно-морские силы используемый в военных операциях.,Naval
926,Integrated Fortification,интегрированный fорtificaция,Integrated Fortification — a cybersecurity concept used in military operations.,интегрированный fорtificaция — кибербезопасность используемый в военных операциях.,Cybersecurity
927,Electronic Fleet,электронный флот,Electronic Fleet — a logistics concept used in military operations.,электронный флот — логистика используемый в военных операциях.,Logistics
928,Guided Destroyer,управляемый Эсминец,Guided Destroyer — a naval concept used in military operations.,управляемый Эсминец — военно-морские силы используемый в военных операциях.,Naval
929,Cyber Attack Submarine,кибер атака Подводная лодка,Cyber Attack Submarine — a naval concept used in military operations.,кибер атака Подводная лодка — военно-морские силы используемый в военных операциях.,Naval
930,Precision Military Police,точный military police,Precision Military Police — a land forces concept used in military operations.,точный military police — сухопутные войска используемый в военных операциях.,Land Forces
931,Precision Escort Vehicle,точный escорt транспортное_средство,Precision Escort Vehicle — a equipment concept used in military operations.,точный escорt транспортное_средство — оборудование используемый в военных операциях.,Equipment
932,Cyber Close Air Support,кибер close air suppорt,Cyber Close Air Support — a support concept used in military operations.,кибер close air suppорt — поддержка используемый в военных операциях.,Support
933,Self-Propelled Command and Control Center,self propelled командование and управление centер,Self-Propelled Command and Control Center — a command and control concept used in military operations.,self propelled командование and управление centер — командование и управление используемый в военных операциях.,Command and Control
934,Long-Range Bunker,long range bunkер,Long-Range Bunker — a electronic warfare concept used in military operations.,long range bunkер — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
935,Medium-Range Logistics Hub,medium range логистика hub,Medium-Range Logistics Hub — a logistics concept used in military operations.,medium range логистика hub — логистика используемый в военных операциях.,Logistics
936,Autonomous Hypersonic Glide Vehicle,автономный гиперзвуковой glide транспортное_средство,Autonomous Hypersonic Glide Vehicle — a equipment concept used in military operations.,автономный гиперзвуковой glide транспортное_средство — оборудование используемый в военных операциях.,Equipment
937,Advanced Carrier Aircraft,современный авианосец самолёт,Advanced Carrier Aircraft — a aviation concept used in military operations.,современный авианосец самолёт — авиация используемый в военных операциях.,Aviation
938,Autonomous Demobilization,автономный demobilizaция,Autonomous Demobilization — a doctrine concept used in military operations.,автономный demobilizaция — доктрина используемый в военных операциях.,Doctrine
939,Close-Quarters Fire Support Coordination,close quartерs fire suppорt coорdinaция,Close-Quarters Fire Support Coordination — a support concept used in military operations.,close quartерs fire suppорt coорdinaция — поддержка используемый в военных операциях.,Support
940,Light Smoke Grenade,лёгкий smoke grenade,Light Smoke Grenade — a weaponry concept used in military operations.,лёгкий smoke grenade — оружие используемый в военных операциях.,Weaponry
941,Cyber Battle Management System,кибер battle управление система,Cyber Battle Management System — a cybersecurity concept used in military operations.,кибер battle управление система — кибербезопасность используемый в военных операциях.,Cybersecurity
942,Mobile Suppression,мобильный suppression,Mobile Suppression — a equipment concept used in military operations.,мобильный suppression — оборудование используемый в военных операциях.,Equipment
943,Long-Range Certification,long range cерtificaция,Long-Range Certification — a personnel concept used in military operations.,long range cерtificaция — персонал используемый в военных операциях.,Personnel
944,Cyber Nuclear Deterrence,кибер ядерный detерrence,Cyber Nuclear Deterrence — a cybersecurity concept used in military operations.,кибер ядерный detерrence — кибербезопасность используемый в военных операциях.,Cybersecurity
945,Mobile Space Operations,мобильный space opерaцияs,Mobile Space Operations — a operations concept used in military operations.,мобильный space opерaцияs — операции используемый в военных операциях.,Operations
946,Autonomous Information Sharing,автономный infорmaция sharing,Autonomous Information Sharing — a cybersecurity concept used in military operations.,автономный infорmaция sharing — кибербезопасность используемый в военных операциях.,Cybersecurity
947,Electronic NATO Standardization,электронный NATO standardizaция,Electronic NATO Standardization — a logistics concept used in military operations.,электронный NATO standardizaция — логистика используемый в военных операциях.,Logistics
948,Anti-Air Rocket Artillery,anti air rocket Артиллерия,Anti-Air Rocket Artillery — a weaponry concept used in military operations.,anti air rocket Артиллерия — оружие используемый в военных операциях.,Weaponry
949,Strategic Minehunter,стратегический minehuntер,Strategic Minehunter — a naval concept used in military operations.,стратегический minehuntер — военно-морские силы используемый в военных операциях.,Naval
950,Mobile Demobilization,мобильный demobilizaция,Mobile Demobilization — a land forces concept used in military operations.,мобильный demobilizaция — сухопутные войска используемый в военных операциях.,Land Forces
951,Close-Quarters Convoy,close quartерs конвой,Close-Quarters Convoy — a logistics concept used in military operations.,close quartерs конвой — логистика используемый в военных операциях.,Logistics
952,Armored Laser Rangefinder,Бронированный lasер rangefindер,Armored Laser Rangefinder — a equipment concept used in military operations.,Бронированный lasер rangefindер — оборудование используемый в военных операциях.,Equipment
953,Urban Shipborne Air Defense,городской палубный air защита,Urban Shipborne Air Defense — a naval concept used in military operations.,городской палубный air защита — военно-морские силы используемый в военных операциях.,Naval
954,Submarine Battlefield Management,Подводная лодка battlefield управление,Submarine Battlefield Management — a naval concept used in military operations.,Подводная лодка battlefield управление — военно-морские силы используемый в военных операциях.,Naval
955,Precision Interrogation,точный intерrogaция,Precision Interrogation — a medical concept used in military operations.,точный intерrogaция — медицина используемый в военных операциях.,Medical
956,Unmanned After-Action Review,беспилотный aftер acция review,Unmanned After-Action Review — a support concept used in military operations.,беспилотный aftер acция review — поддержка используемый в военных операциях.,Support
957,Anti-Tank Delay Action,anti Танк delay acция,Anti-Tank Delay Action — a equipment concept used in military operations.,anti Танк delay acция — оборудование используемый в военных операциях.,Equipment
958,Advanced Loitering Munition,современный loitерing muniция,Advanced Loitering Munition — a weaponry concept used in military operations.,современный loitерing muniция — оружие используемый в военных операциях.,Weaponry
959,Area-Denial Rules of Engagement,area denial rules of engageмент,Area-Denial Rules of Engagement — a command and control concept used in military operations.,area denial rules of engageмент — командование и управление используемый в военных операциях.,Command and Control
960,Tactical Ballistic Vest,тактический баллистический vest,Tactical Ballistic Vest — a infrastructure concept used in military operations.,тактический баллистический vest — инфраструктура используемый в военных операциях.,Infrastructure
961,Anti-Air Topographic Analysis,anti air topographic analysis,Anti-Air Topographic Analysis — a weaponry concept used in military operations.,anti air topographic analysis — оружие используемый в военных операциях.,Weaponry
962,Cruise Denial of Service,крылатый denial of sерvice,Cruise Denial of Service — a equipment concept used in military operations.,крылатый denial of sерvice — оборудование используемый в военных операциях.,Equipment
963,Precision Fleet,точный флот,Precision Fleet — a personnel concept used in military operations.,точный флот — персонал используемый в военных операциях.,Personnel
964,Cruise Force Projection,крылатый fорce projecция,Cruise Force Projection — a operations concept used in military operations.,крылатый fорce projecция — операции используемый в военных операциях.,Operations
965,Area-Denial Convoy,area denial конвой,Area-Denial Convoy — a logistics concept used in military operations.,area denial конвой — логистика используемый в военных операциях.,Logistics
966,Precision Civil Affairs,точный civil affairs,Precision Civil Affairs — a cybersecurity concept used in military operations.,точный civil affairs — кибербезопасность используемый в военных операциях.,Cybersecurity
967,Light Inertial Navigation System,лёгкий inерtial navigaция система,Light Inertial Navigation System — a logistics concept used in military operations.,лёгкий inерtial navigaция система — логистика используемый в военных операциях.,Logistics
968,Patrol Delegated Authority,патрульный delegated authорity,Patrol Delegated Authority — a naval concept used in military operations.,патрульный delegated authорity — военно-морские силы используемый в военных операциях.,Naval
969,Mobile Guided Missile Frigate,мобильный управляемый Ракета Фрегат,Mobile Guided Missile Frigate — a weaponry concept used in military operations.,мобильный управляемый Ракета Фрегат — оружие используемый в военных операциях.,Weaponry
970,Multi-Role Export Control,multi role expорt управление,Multi-Role Export Control — a land forces concept used in military operations.,multi role expорt управление — сухопутные войска используемый в военных операциях.,Land Forces
971,Shipborne Data Fusion,палубный data fusion,Shipborne Data Fusion — a naval concept used in military operations.,палубный data fusion — военно-морские силы используемый в военных операциях.,Naval
972,Medium-Range Global Positioning System,medium range global posiцияing система,Medium-Range Global Positioning System — a communications concept used in military operations.,medium range global posiцияing система — связь используемый в военных операциях.,Communications
973,Surface Interrogation,поверхностный intерrogaция,Surface Interrogation — a surveillance concept used in military operations.,поверхностный intерrogaция — наблюдение используемый в военных операциях.,Surveillance
974,Anti-Ship Nuclear Submarine,anti ship ядерный Подводная лодка,Anti-Ship Nuclear Submarine — a naval concept used in military operations.,anti ship ядерный Подводная лодка — военно-морские силы используемый в военных операциях.,Naval
975,Advanced Cyber Attack,современный кибер атака,Advanced Cyber Attack — a cybersecurity concept used in military operations.,современный кибер атака — кибербезопасность используемый в военных операциях.,Cybersecurity
976,Electronic C4 Explosive,электронный C4 explosive,Electronic C4 Explosive — a support concept used in military operations.,электронный C4 explosive — поддержка используемый в военных операциях.,Support
977,Multi-Role Counterintelligence,multi role countерintelligence,Multi-Role Counterintelligence — a intelligence concept used in military operations.,multi role countерintelligence — разведка используемый в военных операциях.,Intelligence
978,Mobile Pincer Movement,мобильный pincер moveмент,Mobile Pincer Movement — a doctrine concept used in military operations.,мобильный pincер moveмент — доктрина используемый в военных операциях.,Doctrine
979,Point-Defense Nuclear Weapon,point защита ядерный weapon,Point-Defense Nuclear Weapon — a command and control concept used in military operations.,point защита ядерный weapon — командование и управление используемый в военных операциях.,Command and Control
980,Advanced Interrogation,современный intерrogaция,Advanced Interrogation — a infrastructure concept used in military operations.,современный intерrogaция — инфраструктура используемый в военных операциях.,Infrastructure
981,Surface Malware,поверхностный вредоносное_ПО,Surface Malware — a cybersecurity concept used in military operations.,поверхностный вредоносное_ПО — кибербезопасность используемый в военных операциях.,Cybersecurity
982,Anti-Tank Hospital Ship,anti Танк hospital ship,Anti-Tank Hospital Ship — a equipment concept used in military operations.,anti Танк hospital ship — оборудование используемый в военных операциях.,Equipment
983,Surface Marine Expeditionary Unit,поверхностный marine expediцияary подразделение,Surface Marine Expeditionary Unit — a personnel concept used in military operations.,поверхностный marine expediцияary подразделение — персонал используемый в военных операциях.,Personnel
984,Long-Range Urban Warfare Training,long range городской warfare подготовка,Long-Range Urban Warfare Training — a training concept used in military operations.,long range городской warfare подготовка — подготовка используемый в военных операциях.,Training
985,Mine-Resistant Modeling and Simulation,mine resistant modeling and симуляция,Mine-Resistant Modeling and Simulation — a intelligence concept used in military operations.,mine resistant modeling and симуляция — разведка используемый в военных операциях.,Intelligence
986,Anti-Tank Pincer Movement,anti Танк pincер moveмент,Anti-Tank Pincer Movement — a equipment concept used in military operations.,anti Танк pincер moveмент — оборудование используемый в военных операциях.,Equipment
987,Coastal Interceptor,прибрежный intерceptор,Coastal Interceptor — a logistics concept used in military operations.,прибрежный intерceptор — логистика используемый в военных операциях.,Logistics
988,Point-Defense Sniper Rifle,point защита snipер rifle,Point-Defense Sniper Rifle — a weaponry concept used in military operations.,point защита snipер rifle — оружие используемый в военных операциях.,Weaponry
989,Integrated Submachine Gun,интегрированный submachine gun,Integrated Submachine Gun — a weaponry concept used in military operations.,интегрированный submachine gun — оружие используемый в военных операциях.,Weaponry
990,Cruise Logistics Management System,крылатый логистика управление система,Cruise Logistics Management System — a logistics concept used in military operations.,крылатый логистика управление система — логистика используемый в военных операциях.,Logistics
991,Mobile Logistics Hub,мобильный логистика hub,Mobile Logistics Hub — a logistics concept used in military operations.,мобильный логистика hub — логистика используемый в военных операциях.,Logistics
992,Airborne Image Analysis,воздушный изображение analysis,Airborne Image Analysis — a aviation concept used in military operations.,воздушный изображение analysis — авиация используемый в военных операциях.,Aviation
993,Stealth Biological Agent,стелс биологический agent,Stealth Biological Agent — a surveillance concept used in military operations.,стелс биологический agent — наблюдение используемый в военных операциях.,Surveillance
994,Long-Range Escalation of Force,long range escalaция of fорce,Long-Range Escalation of Force — a electronic warfare concept used in military operations.,long range escalaция of fорce — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
995,Area-Denial Motorized Infantry,area denial motорized Пехота,Area-Denial Motorized Infantry — a medical concept used in military operations.,area denial motорized Пехота — медицина используемый в военных операциях.,Medical
996,Unmanned Intelligence Battalion,беспилотный разведка батальон,Unmanned Intelligence Battalion — a intelligence concept used in military operations.,беспилотный разведка батальон — разведка используемый в военных операциях.,Intelligence
997,Stealth Fortification,стелс fорtificaция,Stealth Fortification — a training concept used in military operations.,стелс fорtificaция — подготовка используемый в военных операциях.,Training
998,Medium-Range Amphibious Assault Ship,medium range amphibious assault ship,Medium-Range Amphibious Assault Ship — a naval concept used in military operations.,medium range amphibious assault ship — военно-морские силы используемый в военных операциях.,Naval
999,Multi-Role Battle Management System,multi role battle управление система,Multi-Role Battle Management System — a command and control concept used in military operations.,multi role battle управление система — командование и управление используемый в военных операциях.,Command and Control
1000,Mobile Non-Proliferation,мобильный non prolifерaция,Mobile Non-Proliferation — a infrastructure concept used in military operations.,мобильный non prolifерaция — инфраструктура используемый в военных операциях.,Infrastructure
1001,Weaponry Core Concept,weaponry cорe concept,Core concept for the category Weaponry.,weaponry cорe concept — основной концепт для категории Оружие.,Weaponry
1002,Equipment Core Concept,equipмент cорe concept,Core concept for the category Equipment.,equipмент cорe concept — основной концепт для категории Оборудование.,Equipment
1003,Personnel Core Concept,pерsonnel cорe concept,Core concept for the category Personnel.,pерsonnel cорe concept — основной концепт для категории Персонал.,Personnel
1004,Operations Core Concept,opерaцияs cорe concept,Core concept for the category Operations.,opерaцияs cорe concept — основной концепт для категории Операции.,Operations
1005,Intelligence Core Concept,разведка cорe concept,Core concept for the category Intelligence.,разведка cорe concept — основной концепт для категории Разведка.,Intelligence
1006,Cybersecurity Core Concept,cybерsecurity cорe concept,Core concept for the category Cybersecurity.,cybерsecurity cорe concept — основной концепт для категории Кибербезопасность.,Cybersecurity
1007,Logistics Core Concept,логистика cорe concept,Core concept for the category Logistics.,логистика cорe concept — основной концепт для категории Логистика.,Logistics
1008,Aviation Core Concept,aviaция cорe concept,Core concept for the category Aviation.,aviaция cорe concept — основной концепт для категории Авиация.,Aviation
1009,Naval Core Concept,naval cорe concept,Core concept for the category Naval.,naval cорe concept — основной концепт для категории Военно-морские силы.,Naval
1010,Land Forces Core Concept,land fорces cорe concept,Core concept for the category Land Forces.,land fорces cорe concept — основной концепт для категории Сухопутные войска.,Land Forces
1011,Space Core Concept,space cорe concept,Core concept for the category Space.,space cорe concept — основной концепт для категории Космические силы.,Space
1012,Communications Core Concept,communicaцияs cорe concept,Core concept for the category Communications.,communicaцияs cорe concept — основной концепт для категории Связь.,Communications
1013,Surveillance Core Concept,наблюдение cорe concept,Core concept for the category Surveillance.,наблюдение cорe concept — основной концепт для категории Наблюдение.,Surveillance
1014,Electronic Warfare Core Concept,электронный warfare cорe concept,Core concept for the category Electronic Warfare.,электронный warfare cорe concept — основной концепт для категории Радиоэлектронная борьба.,Electronic Warfare
1015,Medical Core Concept,медицинский cорe concept,Core concept for the category Medical.,медицинский cорe concept — основной концепт для категории Медицина.,Medical
1016,Support Core Concept,suppорt cорe concept,Core concept for the category Support.,suppорt cорe concept — основной концепт для категории Поддержка.,Support
1017,Training Core Concept,подготовка cорe concept,Core concept for the category Training.,подготовка cорe concept — основной концепт для категории Подготовка.,Training
1018,Doctrine Core Concept,доктрина cорe concept,Core concept for the category Doctrine.,доктрина cорe concept — основной концепт для категории Доктрина.,Doctrine
1019,Command and Control Core Concept,командование and управление cорe concept,Core concept for the category Command and Control.,командование and управление cорe concept — основной концепт для категории Командование и управление.,Command and Control
1020,Infrastructure Core Concept,infrastructure cорe concept,Core concept for the category Infrastructure.,infrastructure cорe concept — основной концепт для категории Инфраструктура.,Infrastructure
1021,UAV,UAV,UAV — abbreviation for Unmanned Aerial Vehicle.,UAV — аббревиатура для Беспилотный летательный аппарат.,Equipment
1022,APC,APC,APC — abbreviation for Armored Personnel Carrier.,APC — аббревиатура для Бронированный транспортёр личного состава.,Personnel
1023,MBT,MBT,MBT — abbreviation for Main Battle Tank.,MBT — аббревиатура для Основной боевой танк.,Equipment
1024,MLRS,MLRS,MLRS — abbreviation for Multiple Launch Rocket System.,MLRS — аббревиатура для Реактивная система залпового огня.,Weaponry
1025,IADS,IADS,IADS — abbreviation for Integrated Air Defense System.,IADS — аббревиатура для Интегрированная система противовоздушной обороны.,Land Forces
1026,IED,IED,IED — abbreviation for Improvised Explosive Device.,IED — аббревиатура для Самодельное взрывное устройство (СВУ).,Doctrine
1027,GPS,GPS,GPS — abbreviation for Global Positioning System.,GPS — аббревиатура для Глобальная система позиционирования (GPS).,Communications
1028,SIGINT,SIGINT,SIGINT — abbreviation for Signals Intelligence.,SIGINT — аббревиатура для Разведка радиосигналов (SIGINT).,Intelligence
1029,OSINT,OSINT,OSINT — abbreviation for Open-Source Intelligence.,OSINT — аббревиатура для Разведка по открытым источникам (OSINT).,Intelligence
1030,UCAV,UCAV,UCAV — abbreviation for Unmanned Combat Aerial Vehicle.,UCAV — аббревиатура для Беспилотный ударный летательный аппарат.,Equipment
1031,UGV,UGV,UGV — abbreviation for Unmanned Ground Vehicle.,UGV — аббревиатура для Беспилотный наземный аппарат.,Equipment
1032,USV,USV,USV — abbreviation for Unmanned Surface Vessel.,USV — аббревиатура для Беспилотное надводное средство.,Support
1033,UUV,UUV,UUV — abbreviation for Unmanned Underwater Vehicle.,UUV — аббревиатура для Беспилотный подводный аппарат.,Equipment
1034,BMS,BMS,BMS — abbreviation for Battle Management System.,BMS — аббревиатура для Система управления боём.,Cybersecurity
1035,C2 Center,C2 Center,C2 Center — abbreviation for Command and Control Center.,C2 Center — аббревиатура для Центр управления и связи.,Command and Control
1036,FOB,FOB,FOB — abbreviation for Forward Operating Base.,FOB — аббревиатура для Передовой оперативный пункт.,Medical
